fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.3767,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.39044,0.00557,0.01,0.83716,0.001,2.80327,0.70782,7.93574,0.42442,1.4969,0.02839,0.69848,0.4141,0.00428,0.0867,0.50386,0.01551,0.0,0.0068,0.39345,0.0,1.0,0.00063,0.0,0.00605,9
0.39257,0.00174,0.01,0.82465,0.0,2.79481,0.7099,7.92703,0.42378,1.05363,0.03031,0.69509,0.41645,0.0,0.08353,0.50243,0.01137,0.001,0.01045,0.45604,0.0,1.0,0.0,0.0,0.00326,7
0.4043,0.00166,0.01422,0.83366,0.00019,2.80208,0.62303,7.47833,0.42422,1.75128,0.02826,0.69858,0.23172,0.00064,0.08526,0.59607,0.01173,0.0,0.01413,0.43081,0.00039,0.84054,0.00024,0.0,0.00282,6
0.41189,0.00121,0.01233,0.83396,0.0,2.49456,0.45736,7.79064,0.43817,1.67294,0.02982,0.82594,0.33012,0.00033,0.08421,0.40512,0.01177,0.00067,0.00972,0.37464,0.00046,0.70626,0.00028,0.01875,0.00252,6
0.37234,0.00216,0.01,0.85562,0.0,2.63386,0.53272,7.39826,0.42395,1.23627,0.0291,0.69728,0.34303,0.00257,0.08544,0.51424,0.01465,0.00083,0.00697,0.65109,0.00032,0.88669,0.00066,0.0072,0.00469,5
0.39217,0.00268,0.01639,0.83445,0.00073,2.50247,0.42069,7.86623,0.42424,1.74742,0.02381,0.7058,0.28787,0.00393,0.08375,0.71086,0.01482,0.0001,0.00497,0.40355,0.00048,1.0,0.0007,0.00793,0.00653,7
0.41317,0.0022,0.01678,0.91324,0.0005,2.48151,0.31178,8.369,0.42917,1.69298,0.03487,0.62407,0.25582,0.00058,0.0849,0.41977,0.01207,0.0003,0.01461,0.30946,0.00045,0.8451,0.00094,0.01884,0.00676,9
0.40585,0.00271,0.01711,0.91019,0.00069,2.76778,0.81132,7.90625,0.43791,1.87626,0.02315,0.79935,0.27756,0.00214,0.08362,0.42496,0.01486,5e-05,0.01243,0.38615,0.00052,0.876,0.00048,0.00773,0.00439,9
0.3738,0.00763,0.0268,0.96065,0.001,2.51219,0.36859,9.03021,0.54127,0.92193,0.02547,0.78686,0.26239,0.00055,0.07365,0.38568,0.0105,0.001,0.01165,0.34843,0.00021,0.78186,0.00046,0.00074,0.00264,6
0.38678,0.00491,0.01394,0.98,0.00025,2.45941,0.47801,8.00548,0.57555,1.89519,0.04118,0.9,0.38904,0.00091,0.09253,0.47129,0.01339,0.00035,0.0169,0.29175,0.00041,0.92827,0.00044,0.0018,0.00672,7
0.38963,0.00239,0.0177,0.83952,0.00081,2.90749,0.51299,7.44972,0.43018,1.74148,0.03116,0.73516,0.24344,0.0007,0.08141,0.47679,0.01413,0.00097,0.01486,0.40931,0.00031,0.80185,0.00048,0.0087,0.00681,8
0.38596,0.0028,0.01659,0.75893,0.0,2.40606,0.90203,8.08385,0.5644,1.67153,0.02169,0.65227,0.39141,0.00368,0.08501,0.68326,0.01607,0.00066,0.00605,0.48053,0.00047,1.0,7e-05,0.0044,0.00301,7
0.379,0.00237,0.02332,0.82866,5e-05,2.72243,0.23345,8.20882,0.38929,1.1805,0.02877,0.58859,0.23091,0.00031,0.08406,0.74684,0.01212,0.00058,0.01512,0.40202,0.00048,0.74806,0.00046,0.00701,0.0081,9
0.3694,0.00612,0.01074,0.95491,0.001,3.90788,0.95,8.0827,0.42567,1.85802,0.03307,0.65568,0.17107,0.00472,0.07255,0.76857,0.01226,0.0,0.00642,0.40546,0.00042,1.0,0.00065,0.01326,0.00234,8
0.4104,0.00251,0.0144,0.88988,0.00066,2.61971,0.84303,7.44179,0.43985,1.88048,0.03207,0.68843,0.26217,0.00047,0.07932,0.41368,0.0152,0.00046,0.00435,0.34721,0.00039,0.69642,0.00085,0.00235,0.0059,7
0.0,0.00214,0.0115,0.92517,0.0,2.55519,0.40928,4.72166,0.4418,2.38632,0.03368,0.80285,0.22461,0.00032,0.08957,0.4481,0.0119,0.00055,0.0101,0.3555,0.00038,0.5019,0.00079,0.0103,0.00726,6
0.39646,0.00254,0.01266,0.87689,0.0,2.24957,0.86992,7.07107,0.37738,1.76901,0.03385,0.73724,0.22907,0.00086,0.08448,0.4777,0.01325,0.00035,0.01497,0.44513,0.00054,0.81502,0.00062,0.00517,0.00309,8
0.38541,0.00174,0.01338,0.87978,0.00011,2.20929,0.70759,8.60773,0.42915,1.61932,0.03523,0.79341,0.34979,0.00076,0.08526,0.67087,0.01155,0.00064,0.01503,0.40754,0.00036,1.0,0.00032,0.02133,0.00672,8
0.0,0.00167,0.01404,0.85117,7e-05,2.95675,0.89368,7.0912,0.44671,2.05565,0.03275,0.64112,0.32063,0.00171,0.0857,0.607,0.01815,4e-05,0.00355,0.42896,0.00074,0.66245,0.00032,0.0125,0.00553,8
